Coordinate,Chunk number,Block number
-50.7,-4,13.299999999999997
-51.3,-4,12.700000000000003
52.3,3,4.299999999999997
51.7,3,3.700000000000003
-51.7,-4,12.299999999999997
-52.3,-4,11.700000000000003
53.3,3,5.299999999999997
52.7,3,4.700000000000003
-52.7,-4,11.299999999999997
-53.3,-4,10.700000000000003
54.3,3,6.299999999999997
53.7,3,5.700000000000003
-53.7,-4,10.299999999999997
-54.3,-4,9.700000000000003
55.3,3,7.299999999999997
54.7,3,6.700000000000003
-54.7,-4,9.299999999999997
-55.3,-4,8.700000000000003
56.3,3,8.299999999999997
55.7,3,7.700000000000003
-55.7,-4,8.299999999999997
-56.3,-4,7.700000000000003
57.3,3,9.299999999999997
56.7,3,8.700000000000003
-56.7,-4,7.299999999999997
-57.3,-4,6.700000000000003
58.3,3,10.299999999999997
57.7,3,9.700000000000003
-57.7,-4,6.299999999999997
-58.3,-4,5.700000000000003
59.3,3,11.299999999999997
58.7,3,10.700000000000003
-58.7,-4,5.299999999999997
-59.3,-4,4.700000000000003
60.3,3,12.299999999999997
59.7,3,11.700000000000003
-59.7,-4,4.299999999999997
-60.3,-4,3.700000000000003
61.3,3,13.299999999999997
60.7,3,12.700000000000003
-60.7,-4,3.299999999999997
-61.3,-4,2.700000000000003
62.3,3,14.299999999999997
61.7,3,13.700000000000003
-61.7,-4,2.299999999999997
-62.3,-4,1.7000000000000028
63.3,3,15.299999999999997
62.7,3,14.700000000000003
-62.7,-4,1.2999999999999972
-63.3,-4,0.7000000000000028
64.3,4,0.29999999999999716
63.7,3,15.700000000000003
-63.7,-4,0.29999999999999716
-64.3,-5,15.700000000000003
65.3,4,1.2999999999999972
64.7,4,0.7000000000000028
-64.7,-5,15.299999999999997
-65.3,-5,14.700000000000003
66.3,4,2.299999999999997
65.7,4,1.7000000000000028
-65.7,-5,14.299999999999997
-66.3,-5,13.700000000000003
67.3,4,3.299999999999997
66.7,4,2.700000000000003
-66.7,-5,13.299999999999997
-67.3,-5,12.700000000000003
68.3,4,4.299999999999997
67.7,4,3.700000000000003
-67.7,-5,12.299999999999997
-68.3,-5,11.700000000000003
69.3,4,5.299999999999997
68.7,4,4.700000000000003
-68.7,-5,11.299999999999997
-69.3,-5,10.700000000000003
70.3,4,6.299999999999997
69.7,4,5.700000000000003
-69.7,-5,10.299999999999997
-70.3,-5,9.700000000000003
71.3,4,7.299999999999997
70.7,4,6.700000000000003
-70.7,-5,9.299999999999997
-71.3,-5,8.700000000000003
72.3,4,8.299999999999997
71.7,4,7.700000000000003
-71.7,-5,8.299999999999997
-72.3,-5,7.700000000000003
73.3,4,9.299999999999997
72.7,4,8.700000000000003
-72.7,-5,7.299999999999997
-73.3,-5,6.700000000000003
74.3,4,10.299999999999997
73.7,4,9.700000000000003
-73.7,-5,6.299999999999997
-74.3,-5,5.700000000000003
75.3,4,11.299999999999997
74.7,4,10.700000000000003
-74.7,-5,5.299999999999997
-75.3,-5,4.700000000000003
76.3,4,12.299999999999997
75.7,4,11.700000000000003
-75.7,-5,4.299999999999997
-76.3,-5,3.700000000000003
77.3,4,13.299999999999997
76.7,4,12.700000000000003
-76.7,-5,3.299999999999997
-77.3,-5,2.700000000000003
78.3,4,14.299999999999997
77.7,4,13.700000000000003
-77.7,-5,2.299999999999997
-78.3,-5,1.7000000000000028
79.3,4,15.299999999999997
78.7,4,14.700000000000003
-78.7,-5,1.2999999999999972
-79.3,-5,0.7000000000000028
80.3,5,0.29999999999999716
79.7,4,15.700000000000003
-79.7,-5,0.29999999999999716
-80.3,-6,15.700000000000003
81.3,5,1.2999999999999972
80.7,5,0.7000000000000028
-80.7,-6,15.299999999999997
-81.3,-6,14.700000000000003
82.3,5,2.299999999999997
81.7,5,1.7000000000000028
-81.7,-6,14.299999999999997
-82.3,-6,13.700000000000003
83.3,5,3.299999999999997
82.7,5,2.700000000000003
-82.7,-6,13.299999999999997
-83.3,-6,12.700000000000003
84.3,5,4.299999999999997
83.7,5,3.700000000000003
-83.7,-6,12.299999999999997
-84.3,-6,11.700000000000003
85.3,5,5.299999999999997
84.7,5,4.700000000000003
-84.7,-6,11.299999999999997
-85.3,-6,10.700000000000003
86.3,5,6.299999999999997
85.7,5,5.700000000000003
-85.7,-6,10.299999999999997
-86.3,-6,9.700000000000003
87.3,5,7.299999999999997
86.7,5,6.700000000000003
-86.7,-6,9.299999999999997
-87.3,-6,8.700000000000003
88.3,5,8.299999999999997
87.7,5,7.700000000000003
-87.7,-6,8.299999999999997
-88.3,-6,7.700000000000003
89.3,5,9.299999999999997
88.7,5,8.700000000000003
-88.7,-6,7.299999999999997
-89.3,-6,6.700000000000003
90.3,5,10.299999999999997
89.7,5,9.700000000000003
-89.7,-6,6.299999999999997
-90.3,-6,5.700000000000003
91.3,5,11.299999999999997
90.7,5,10.700000000000003
-90.7,-6,5.299999999999997
-91.3,-6,4.700000000000003
92.3,5,12.299999999999997
91.7,5,11.700000000000003
-91.7,-6,4.299999999999997
-92.3,-6,3.700000000000003
93.3,5,13.299999999999997
92.7,5,12.700000000000003
-92.7,-6,3.299999999999997
-93.3,-6,2.700000000000003
94.3,5,14.299999999999997
93.7,5,13.700000000000003
-93.7,-6,2.299999999999997
-94.3,-6,1.7000000000000028
95.3,5,15.299999999999997
94.7,5,14.700000000000003
-94.7,-6,1.2999999999999972
-95.3,-6,0.7000000000000028
96.3,6,0.29999999999999716
95.7,5,15.700000000000003
-95.7,-6,0.29999999999999716
-96.3,-7,15.700000000000003
97.3,6,1.2999999999999972
96.7,6,0.7000000000000028
-96.7,-7,15.299999999999997
-97.3,-7,14.700000000000003
98.3,6,2.299999999999997
97.7,6,1.7000000000000028
-97.7,-7,14.299999999999997
-98.3,-7,13.700000000000003
99.3,6,3.299999999999997
98.7,6,2.700000000000003
-98.7,-7,13.299999999999997
-99.3,-7,12.700000000000003
100.3,6,4.299999999999997
99.7,6,3.700000000000003
-99.7,-7,12.299999999999997
-100.3,-7,11.700000000000003
101.3,6,5.299999999999997
100.7,6,4.700000000000003
-100.7,-7,11.299999999999997
-101.3,-7,10.700000000000003
102.3,6,6.299999999999997
101.7,6,5.700000000000003
-101.7,-7,10.299999999999997
-102.3,-7,9.700000000000003
103.3,6,7.299999999999997
102.7,6,6.700000000000003
-102.7,-7,9.299999999999997
-103.3,-7,8.700000000000003
104.3,6,8.299999999999997
103.7,6,7.700000000000003
-103.7,-7,8.299999999999997
-104.3,-7,7.700000000000003
105.3,6,9.299999999999997
104.7,6,8.700000000000003
-104.7,-7,7.299999999999997
-105.3,-7,6.700000000000003
106.3,6,10.299999999999997
105.7,6,9.700000000000003
-105.7,-7,6.299999999999997
-106.3,-7,5.700000000000003
107.3,6,11.299999999999997
106.7,6,10.700000000000003
-106.7,-7,5.299999999999997
-107.3,-7,4.700000000000003
108.3,6,12.299999999999997
107.7,6,11.700000000000003
-107.7,-7,4.299999999999997
-108.3,-7,3.700000000000003
109.3,6,13.299999999999997
108.7,6,12.700000000000003
-108.7,-7,3.299999999999997
-109.3,-7,2.700000000000003
110.3,6,14.299999999999997
109.7,6,13.700000000000003
-109.7,-7,2.299999999999997
-110.3,-7,1.7000000000000028
111.3,6,15.299999999999997
110.7,6,14.700000000000003
-110.7,-7,1.2999999999999972
-111.3,-7,0.7000000000000028
112.3,7,0.29999999999999716
111.7,6,15.700000000000003
-111.7,-7,0.29999999999999716
-112.3,-8,15.700000000000003
113.3,7,1.2999999999999972
112.7,7,0.7000000000000028
-112.7,-8,15.299999999999997
-113.3,-8,14.700000000000003
114.3,7,2.299999999999997
113.7,7,1.7000000000000028
-113.7,-8,14.299999999999997
-114.3,-8,13.700000000000003
115.3,7,3.299999999999997
114.7,7,2.700000000000003
-114.7,-8,13.299999999999997
-115.3,-8,12.700000000000003
116.3,7,4.299999999999997
115.7,7,3.700000000000003
-115.7,-8,12.299999999999997
-116.3,-8,11.700000000000003
117.3,7,5.299999999999997
116.7,7,4.700000000000003
-116.7,-8,11.299999999999997
-117.3,-8,10.700000000000003
118.3,7,6.299999999999997
117.7,7,5.700000000000003
-117.7,-8,10.299999999999997
-118.3,-8,9.700000000000003
119.3,7,7.299999999999997
118.7,7,6.700000000000003
-118.7,-8,9.299999999999997
-119.3,-8,8.700000000000003
120.3,7,8.299999999999997
119.7,7,7.700000000000003
-119.7,-8,8.299999999999997
-120.3,-8,7.700000000000003
121.3,7,9.299999999999997
120.7,7,8.700000000000003
-120.7,-8,7.299999999999997
-121.3,-8,6.700000000000003
122.3,7,10.299999999999997
121.7,7,9.700000000000003
-121.7,-8,6.299999999999997
-122.3,-8,5.700000000000003
123.3,7,11.299999999999997
122.7,7,10.700000000000003
-122.7,-8,5.299999999999997
-123.3,-8,4.700000000000003
124.3,7,12.299999999999997
123.7,7,11.700000000000003
-123.7,-8,4.299999999999997
-124.3,-8,3.700000000000003
125.3,7,13.299999999999997
124.7,7,12.700000000000003
-124.7,-8,3.299999999999997
-125.3,-8,2.700000000000003
126.3,7,14.299999999999997
125.7,7,13.700000000000003
-125.7,-8,2.299999999999997
-126.3,-8,1.7000000000000028
127.3,7,15.299999999999997
126.7,7,14.700000000000003
-126.7,-8,1.2999999999999972
-127.3,-8,0.7000000000000028
128.3,8,0.30000000000001137
127.7,7,15.700000000000003
-127.7,-8,0.29999999999999716
-128.3,-9,15.699999999999989
129.3,8,1.3000000000000114
128.7,8,0.6999999999999886
-128.7,-9,15.300000000000011
-129.3,-9,14.699999999999989
130.3,8,2.3000000000000114
129.7,8,1.6999999999999886
-129.7,-9,14.300000000000011
-130.3,-9,13.699999999999989
131.3,8,3.3000000000000114
130.7,8,2.6999999999999886
-130.7,-9,13.300000000000011
-131.3,-9,12.699999999999989
132.3,8,4.300000000000011
131.7,8,3.6999999999999886
-131.7,-9,12.300000000000011
-132.3,-9,11.699999999999989
133.3,8,5.300000000000011
132.7,8,4.699999999999989
-132.7,-9,11.300000000000011
-133.3,-9,10.699999999999989
134.3,8,6.300000000000011
133.7,8,5.699999999999989
-133.7,-9,10.300000000000011
-134.3,-9,9.699999999999989
135.3,8,7.300000000000011
134.7,8,6.699999999999989
-134.7,-9,9.300000000000011
-135.3,-9,8.699999999999989
136.3,8,8.300000000000011
135.7,8,7.699999999999989
-135.7,-9,8.300000000000011
-136.3,-9,7.699999999999989
137.3,8,9.300000000000011
136.7,8,8.699999999999989
-136.7,-9,7.300000000000011
-137.3,-9,6.699999999999989
138.3,8,10.300000000000011
137.7,8,9.699999999999989
-137.7,-9,6.300000000000011
-138.3,-9,5.699999999999989
139.3,8,11.300000000000011
138.7,8,10.699999999999989
-138.7,-9,5.300000000000011
-139.3,-9,4.699999999999989
140.3,8,12.300000000000011
139.7,8,11.699999999999989
-139.7,-9,4.300000000000011
-140.3,-9,3.6999999999999886
141.3,8,13.300000000000011
140.7,8,12.699999999999989
-140.7,-9,3.3000000000000114
-141.3,-9,2.6999999999999886
142.3,8,14.300000000000011
141.7,8,13.699999999999989
-141.7,-9,2.3000000000000114
-142.3,-9,1.6999999999999886
143.3,8,15.300000000000011
142.7,8,14.699999999999989
-142.7,-9,1.3000000000000114
-143.3,-9,0.6999999999999886
144.3,9,0.30000000000001137
143.7,8,15.699999999999989
-143.7,-9,0.30000000000001137
-144.3,-10,15.699999999999989
145.3,9,1.3000000000000114
144.7,9,0.6999999999999886
-144.7,-10,15.300000000000011
-145.3,-10,14.699999999999989
146.3,9,2.3000000000000114
145.7,9,1.6999999999999886
-145.7,-10,14.300000000000011
-146.3,-10,13.699999999999989
147.3,9,3.3000000000000114
146.7,9,2.6999999999999886
